,name,titles,gross_max,gross_min,gross_mean,rating_max,rating_min,rating_mean
309,Grégory Levasseur,The Pyramid,16861137.0,16861137.0,16861137.0,46.0,46.0,46.0
310,Granz Henman,Hard Feelings,,,,48.0,48.0,48.0
311,Jerren Lauder,You're Killing Me,,,,50.0,50.0,50.0
312,Jason Stone,The Calling,189254.0,189254.0,189254.0,58.0,58.0,58.0
313,Chris Wedge,"Ice Age, Robots, Epic, Monster Trucks",383257136.0,64493915.0,244672293.75,75.0,57.0,65.5
314,Claude Pinoteau,The Party,,,,67.0,67.0,67.0
315,Douglas Hickox,Theater of Blood,,,,71.0,71.0,71.0
316,Tyler Gillett,"Scream VI, Ready or Not, Scream, V/H/S, Untitled Monster Thriller for Universal Pictures Project",168961389.0,1944287.0,91566344.25,69.0,58.0,63.75
317,Jung Bum-shik,Gonjiam: Haunted Asylum,21041950.0,21041950.0,21041950.0,64.0,64.0,64.0
318,Sophie Kargman,Susie Searches,,,,61.0,61.0,61.0
319,Park Hee-kon,Target,3018635.0,3018635.0,3018635.0,66.0,66.0,66.0
320,Xavier Gens,"Hitman, Mayhem!, The Divide, Frontier(s), Cold Skin",101276318.0,145676.0,21294765.8,64.0,58.0,61.2
321,John Barr,"Dangerous Waters, Saturn 3",9000000.0,332862.0,4666431.0,52.0,51.0,51.5
322,Rajkumar Santoshi,Bad Boy,,,,72.0,72.0,72.0
323,Simon Cellan Jones,"Arthur the King, The Family Plan",,,,,,
324,Jason Moore,"Pitch Perfect, Shotgun Wedding, Sisters",115647426.0,8277788.0,76312089.0,71.0,54.0,61.666666666666664
325,Dito Montiel,The Son of No One,1091132.0,1091132.0,1091132.0,51.0,51.0,51.0
326,Yoann-Karl Whissell,Summer of 84,42027.0,42027.0,42027.0,67.0,67.0,67.0
327,Aaron Sorkin,"Molly's Game, The Trial of the Chicago 7, Being the Ricardos",59284015.0,59284015.0,59284015.0,77.0,65.0,72.0
328,Kôji Shiraishi,Grotesque,,,,47.0,47.0,47.0
329,Ernie Barbarash,"Heatwave, Christmas Inheritance, Holiday in the Wild",,,,62.0,51.0,56.666666666666664
330,Kristin Scott Thomas,North Star,,,,69.0,69.0,69.0
331,Kaige Chen,"Killing Me Softly, Farewell My Concubine, The Battle at Lake Changjin",902548476.0,6431018.0,305584877.3333333,81.0,54.0,63.333333333333336
332,Lee Jeong-beom,The Man from Nowhere,44723232.0,44723232.0,44723232.0,77.0,77.0,77.0
333,Nicholaus Goossen,Grandma's Boy,6566277.0,6566277.0,6566277.0,69.0,69.0,69.0
334,Allan Holzman,Forbidden World,,,,51.0,51.0,51.0
335,Simon Wells,"The Prince of Egypt, The Time Machine, Balto, We're Back! A Dinosaur's Story, An American Tail: Fievel Goes West",218613188.0,9317021.0,80754903.2,72.0,60.0,65.6
336,Clive Barker,"Hellraiser, Nightbreed, Lord of Illusions",14575526.0,9469695.0,12446547.666666666,69.0,60.0,64.66666666666667
337,James Bird,Wifelike,,,,49.0,49.0,49.0
338,Oliver Parker,"Dorian Gray, Johnny English Reborn, St. Trinian's, The Great Escaper, Othello",160078586.0,2844379.0,44281021.2,70.0,58.0,64.2
339,Brad Peyton,"Journey 2: The Mysterious Island, San Andreas, Rampage",474609154.0,335287748.0,412675045.0,61.0,57.0,59.666666666666664
340,Albert Band,Doctor Mordrid,,,,54.0,54.0,54.0
341,Roman Polanski,"Chinatown, Rosemary's Baby, The Ninth Gate, Bitter Moon, The Palace, The Ghost Writer, Macbeth, Carnage, The Tenant, The Fearless Vampire Killers, The Pianist, Repulsion, What?, Oliver Twist, Tess, Frantic, An Officer and a Spy, Venus in Fur",120072577.0,33174.0,29338613.64285714,85.0,52.0,71.38888888888889
342,Lance Hool,2 Hearts,1349286.0,1349286.0,1349286.0,63.0,63.0,63.0
343,Sarah Gavron,Suffragette,31972096.0,31972096.0,31972096.0,69.0,69.0,69.0
344,James Cummins,The Boneyard,,,,56.0,56.0,56.0
345,Damien Leone,"Terrifier 3, Terrifier 2, All Hallows' Eve, Terrifier",15387633.0,416322.0,7901977.5,61.0,52.0,56.333333333333336
346,Zack Snyder,"Rebel Moon: Part One - A Child of Fire, Zack Snyder's Justice League, Man of Steel, Batman v Superman: Dawn of Justice, Justice League, Dawn of the Dead, Army of the Dead, Sucker Punch, Watchmen, 300, Rebel Moon - Part Two: The Scargiver, Legend of the Guardians: The Owls of Ga'Hoole",874362803.0,89792502.0,397430633.5,79.0,58.0,68.8
347,Leonard Nimoy,"Star Trek III: The Search for Spock, Three Men and a Baby, Star Trek IV: The Voyage Home",167780960.0,76471046.0,117988379.33333333,73.0,61.0,66.66666666666667
348,Matthew Holmes,The Cost,,,,63.0,63.0,63.0
