,name,titles,gross_max,gross_min,gross_mean,rating_max,rating_min,rating_mean
1064,Martin Brest,"Midnight Run, Beverly Hills Cop, Gigli, Meet Joe Black, Scent of a Woman",316360478.0,7266209.0,136455129.2,80.0,26.0,65.4
1065,Adam McKay,"The Other Guys, Anchorman: The Legend of Ron Burgundy, Vice, Anchorman 2: The Legend Continues, Don't Look Up, The Big Short, Average Height, Average Build, Talladega Nights: The Ballad of Ricky Bobby, Step Brothers",173649931.0,791863.0,117074343.375,78.0,63.0,69.625
1066,Beeban Kidron,"To Wong Foo, Thanks for Everything! Julie Newmar, Bridget Jones: The Edge of Reason, Used People",265126918.0,17957265.0,110286125.33333333,67.0,60.0,62.666666666666664
1067,Lawrence Fowler,The Ghost Within,319096.0,319096.0,319096.0,38.0,38.0,38.0
1068,Michael Jacobs,Maybe I Do,4450096.0,4450096.0,4450096.0,49.0,49.0,49.0
1069,Benjamin Bryant,Station to Station,,,,67.0,67.0,67.0
1070,Kevin Altieri,Batman: Mask of the Phantasm,5848204.0,5848204.0,5848204.0,78.0,78.0,78.0
1071,Lewis Gilbert,"The Spy Who Loved Me, You Only Live Twice, Moonraker",210308099.0,43095926.0,100093263.0,70.0,62.0,66.66666666666667
1072,Castille Landon,"After We Fell, After Ever Happy, After Everything, Perfect Addiction, Fear of Rain",21753705.0,24565.0,12914444.25,59.0,46.0,50.6
1073,Franck Khalfoun,"Night of the Hunted, Maniac, Amityville: The Awakening, P2",8481997.0,236698.0,4779052.5,61.0,48.0,55.25
1074,Mark Jones,Leprechaun,8556940.0,8556940.0,8556940.0,48.0,48.0,48.0
1075,Andrew Scheinman,Little Big League,12267790.0,12267790.0,12267790.0,62.0,62.0,62.0
1076,Vadim Perelman,"House of Sand and Fog, Persian Lessons",16763804.0,4849240.0,10806522.0,75.0,74.0,74.5
1077,John Schlesinger,"Midnight Cowboy, Marathon Man, Eye for an Eye, The Falcon and the Snowman, Pacific Heights",44926706.0,17130087.0,31088915.8,78.0,62.0,69.2
1078,Na Hong-jin,"The Wailing, The Chaser, Hope",49851770.0,36495748.0,43173759.0,78.0,74.0,76.0
1079,Robert Connolly,"The Dry, Blueback",16066821.0,1828037.0,8947429.0,68.0,59.0,63.5
1080,Olaf de Fleur Johannesson,Malevolent,,,,48.0,48.0,48.0
1081,Anthony Maras,Hotel Mumbai,21315827.0,21315827.0,21315827.0,76.0,76.0,76.0
1082,Nicholas Tana,Sticky: A (Self) Love Story,,,,64.0,64.0,64.0
1083,Steven LaMorte,The Mean One,612260.0,612260.0,612260.0,37.0,37.0,37.0
1084,Sam H. Freeman,Femme,,,,77.0,77.0,77.0
1085,A. Edward Sutherland,Beyond Tomorrow,,,,65.0,65.0,65.0
1086,Hallie Meyers-Shyer,Home Again,37270721.0,37270721.0,37270721.0,58.0,58.0,58.0
1087,Kyle Newacheck,"Murder Mystery, Game Over, Man!",,,,60.0,54.0,57.0
1088,Assaf Bernstein,Look Away,1119537.0,1119537.0,1119537.0,58.0,58.0,58.0
1089,Gary Wheeler,"Christmas in the Smokies, Christmas on the Range, Christmas on the Coast, Christmas in the Pines",,,,63.0,58.0,60.5
1090,Rudolph Maté,D.O.A.,,,,72.0,72.0,72.0
1091,Oran Zegman,Honor Society,,,,65.0,65.0,65.0
1092,Florian Henckel von Donnersmarck,"The Lives of Others, The Tourist, Never Look Away",278780441.0,6193234.0,120776872.33333333,84.0,60.0,73.66666666666667
1093,Larry Yang,Ride On,36258730.0,36258730.0,36258730.0,63.0,63.0,63.0
1094,William Richert,A Night in the Life of Jimmy Reardon,6264058.0,6264058.0,6264058.0,55.0,55.0,55.0
1095,Brian Smrz,24 Hours to Live,5805201.0,5805201.0,5805201.0,58.0,58.0,58.0
1096,Stewart Raffill,"Survival Island, The Ice Pirates, Mannequin: On the Move, Tammy and the T-Rex, Mac and Me, The Philadelphia Experiment",14255801.0,558764.0,6618887.0,61.0,34.0,49.5
1097,Patrick Magee,Primal Rage,73383.0,73383.0,73383.0,50.0,50.0,50.0
1098,David Yates,"Pain Hustlers, Fantastic Beasts and Where to Find Them, Fantastic Beasts: The Crimes of Grindelwald, The Legend of Tarzan, Harry Potter and the Deathly Hallows: Part 2, Harry Potter and the Order of the Phoenix, Harry Potter and the Deathly Hallows: Part 1, Harry Potter and the Half-Blood Prince, Fantastic Beasts: The Secrets of Dumbledore",1356841356.0,357243061.0,804959009.875,81.0,62.0,70.55555555555556
1099,Anvita Dutt,Qala,,,,72.0,72.0,72.0
1100,Mark Cullen,Once Upon a Time in Venice,855888.0,855888.0,855888.0,53.0,53.0,53.0
1101,Arlen Konopaki,How to Ruin the Holidays,,,,,,
1102,Ross Stewart,Wolfwalkers,1310720.0,1310720.0,1310720.0,80.0,80.0,80.0
1103,Jay Lee,Zombie Strippers!,82360.0,82360.0,82360.0,41.0,41.0,41.0
1104,Paul Mazursky,"Harry and Tonto, Bob & Carol & Ted & Alice",,,,73.0,67.0,70.0
1105,Shady El-Hamus,Crypto Boy,,,,57.0,57.0,57.0
1106,Han Jae-rim,Emergency Declaration,21400327.0,21400327.0,21400327.0,68.0,68.0,68.0
1107,Mark Dindal,"The Emperor's New Groove, The Garfield Movie, Chicken Little",314432837.0,169662340.0,242047588.5,74.0,57.0,65.5
1108,Erin Axelman,Israelism,,,,60.0,60.0,60.0
1109,Stanley Tong,"Kung Fu Yoga, Vanguard, Rumble in the Bronx",257753889.0,32392047.0,113670945.66666667,67.0,47.0,55.333333333333336
1110,Wally Pfister,Transcendence,103039258.0,103039258.0,103039258.0,62.0,62.0,62.0
1111,Pierre Coffin,"Despicable Me, Minions, Despicable Me 2, Despicable Me 3",1159444662.0,543157985.0,927042195.75,76.0,62.0,68.75
1112,Phil Claydon,Vampire Killers,3276702.0,3276702.0,3276702.0,51.0,51.0,51.0
1113,Rob Zombie,"House of 1000 Corpses, The Devil's Rejects, Halloween, 3 from Hell, The Munsters, Halloween II, 31, The Lords of Salem",80460948.0,850419.0,23186436.0,67.0,45.0,54.625
1114,Maria K. Singh,The Nightingale,,,,,,
1115,Raja Menon,Pippa,,,,62.0,62.0,62.0
1116,Carl Goldstein,Sniper: Ultimate Kill,,,,56.0,56.0,56.0
1117,Asif Kapadia,Senna,10197661.0,10197661.0,10197661.0,85.0,85.0,85.0
1118,Lesli Linka Glatter,Now and Then,37591674.0,37591674.0,37591674.0,68.0,68.0,68.0
1119,Dan Hartley,David Holmes: The Boy Who Lived,,,,78.0,78.0,78.0
1120,Fintan Connolly,Barber,16038.0,16038.0,16038.0,50.0,50.0,50.0
1121,Nick Bruno,"Nimona, Spies in Disguise",171616764.0,171616764.0,171616764.0,76.0,68.0,72.0
1122,Xavier Dolan,Mommy,13156856.0,13156856.0,13156856.0,80.0,80.0,80.0
1123,Paris Barclay,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,20949601.0,20949601.0,20949601.0,65.0,65.0,65.0
1124,Bart Freundlich,The Rebound,21791288.0,21791288.0,21791288.0,63.0,63.0,63.0
1125,Todd Edwards,Hoodwinked,110013167.0,110013167.0,110013167.0,65.0,65.0,65.0
1126,Mervyn LeRoy,"Little Women, The Bad Seed, Quo Vadis",12905600.0,101486.0,6503543.0,74.0,71.0,72.33333333333333
1127,Mark Ritchie,Renaissance: A Film by Beyoncé,,,,94.0,94.0,94.0
1128,Stephen Gray,After Death,11460826.0,11460826.0,11460826.0,61.0,61.0,61.0
1129,Abigail Blackmore,Tales from the Lodge,,,,54.0,54.0,54.0
1130,Maccio Capatonda,Il migliore dei mondi,,,,63.0,63.0,63.0
1131,Zoya Akhtar,The Archies,,,,44.0,44.0,44.0
1132,Alper Mestçi,Meksika Açmazi,163384.0,163384.0,163384.0,59.0,59.0,59.0
1133,Steve Pink,"Hot Tub Time Machine, Accepted, Hot Tub Time Machine 2, About Last Night",64780213.0,13081651.0,41732746.5,64.0,50.0,59.5
1134,Stephen Williams,Chevalier,4147052.0,4147052.0,4147052.0,65.0,65.0,65.0
1135,Jorma Taccone,"Popstar: Never Stop Never Stopping, MacGruber",9680029.0,9322895.0,9501462.0,67.0,56.0,61.5
1136,Patryk Vega,Small World,2152827.0,2152827.0,2152827.0,55.0,55.0,55.0
1137,Jon Hewitt,X,,,,55.0,55.0,55.0
1138,George Gallo,"The Ritual Killer, Trapped in Paradise, The Comeback Trail, The Poison Rose",6017509.0,320461.0,2267244.75,59.0,43.0,51.75
1139,Anna Kendrick,Woman of the Hour,,,,78.0,78.0,78.0
1140,Jim Gillespie,I Know What You Did Last Summer,125586134.0,125586134.0,125586134.0,58.0,58.0,58.0
1141,Joseph Ruben,"Sleeping with the Enemy, The Good Son, The Stepfather, The Forgotten, Dreamscape",174999005.0,2488740.0,73567750.6,67.0,58.0,63.0
1142,Scott Beck,"65, Haunt",60730568.0,2243353.0,31486960.5,63.0,54.0,58.5
1143,Simon Barrett,"V/H/S/94, V/H/S/2",805574.0,805574.0,805574.0,60.0,55.0,57.5
1144,Sid Sadowskyj,Scott and Sid,7457.0,7457.0,7457.0,59.0,59.0,59.0
1145,Patrick Gilmore,Sinbad: Legend of the Seven Seas,80773077.0,80773077.0,80773077.0,67.0,67.0,67.0
1146,David Hamilton,"Bilitis, Tender Cousins, Laura",,,,57.0,53.0,54.666666666666664
1147,Taylor Hackford,"The Devil's Advocate, An Officer and a Gentleman, Bound by Honor, Ray, Parker, Against All Odds, Dolores Claiborne, White Nights, Proof of Life",152944660.0,4496583.0,67678169.1111111,79.0,59.0,69.44444444444444
1148,Ayuko Tsukahara,My Happy Marriage,19506407.0,19506407.0,19506407.0,69.0,69.0,69.0
1149,John Hughes,"Planes, Trains & Automobiles, Weird Science, Sixteen Candles, Ferris Bueller's Day Off, The Breakfast Club, Uncle Buck, She's Having a Baby, Curly Sue",79258538.0,16031707.0,45422398.125,78.0,59.0,69.625
1150,Jonathan Baker,"Kin, Inconceivable",10313019.0,259635.0,5286327.0,58.0,52.0,55.0
1151,Aamir Khan,Like Stars on Earth,21897373.0,21897373.0,21897373.0,83.0,83.0,83.0
1152,Alfred Hitchcock,"Psycho, Rear Window, Vertigo, North by Northwest, The Birds, To Catch a Thief, Suspicion, Rebecca, Rope, Dial M for Murder, Notorious, The Man Who Knew Too Much, Strangers on a Train, Marnie, Frenzy, Shadow of a Doubt, Spellbound, The 39 Steps, The Lady Vanishes",37034884.0,714.0,4307005.277777778,85.0,71.0,78.10526315789474
1153,Jules Dassin,"The Canterville Ghost, The Naked City",,,,76.0,69.0,72.5
1154,Josie Rourke,Mary Queen of Scots,46712809.0,46712809.0,46712809.0,63.0,63.0,63.0
1155,Vince Gilligan,El Camino: A Breaking Bad Movie,,,,73.0,73.0,73.0
1156,Tarsem Singh,"Immortals, The Cell, The Fall, Self/less",226904017.0,3669465.0,91634120.25,78.0,60.0,66.75
1157,Phillip Borsos,One Magic Christmas,13677222.0,13677222.0,13677222.0,64.0,64.0,64.0
1158,Carlos López Estrada,"Raya and the Last Dragon, Blindspotting",130423032.0,5006989.0,67715010.5,74.0,73.0,73.5
1159,Ben Wheatley,"Meg 2: The Trench, Rebecca, Free Fire, High-Rise, Kill List, In the Earth",395000317.0,450275.0,80957954.4,64.0,51.0,57.333333333333336
1160,Thomas Schlamme,So I Married an Axe Murderer,11585483.0,11585483.0,11585483.0,65.0,65.0,65.0
1161,Seth Rogen,"This Is the End, The Interview",126041322.0,11782625.0,68911973.5,66.0,65.0,65.5
1162,Michael Winner,"Death Wish, Death Wish II, The Sentinel, The Mechanic, Death Wish 3",22000000.0,16100000.0,18072292.666666668,69.0,58.0,63.6
1163,Yarrow Cheney,The Grinch,526760632.0,526760632.0,526760632.0,64.0,64.0,64.0
1164,Patrick Read Johnson,Baby's Day Out,16827402.0,16827402.0,16827402.0,62.0,62.0,62.0
1165,Kevin Lima,"Enchanted, Tarzan, A Goofy Movie, 102 Dalmatians",448191819.0,35348597.0,251910012.25,73.0,48.0,65.25
1166,Peter Hyams,"Capricorn One, End of Days, 2010: The Year We Make Contact, Timecop, Outland, Running Scared, The Relic, The Presidio",211989043.0,402.0,58024088.5,68.0,58.0,62.5
1167,Roger Spottiswoode,"Tomorrow Never Dies, The 6th Day, Turner & Hooch, Stop! Or My Mom Will Shoot, A Street Cat Named Bob, Air America",333011068.0,16053043.0,103383663.66666667,73.0,44.0,60.166666666666664
1168,Stiles White,Ouija,103687316.0,103687316.0,103687316.0,45.0,45.0,45.0
1169,Yorgos Lanthimos,"Poor Things, The Lobster, Dogtooth, The Killing of a Sacred Deer, The Favourite, Kind of Kindness",95918706.0,689077.0,30281748.25,85.0,70.0,74.6
1170,Mario Van Peebles,New Jack City,47624353.0,47624353.0,47624353.0,66.0,66.0,66.0
1171,Pushkar,Vikram Vedha,8234166.0,8234166.0,8234166.0,71.0,71.0,71.0
1172,Dragan Bjelogrlic,Guardians of the Formula,938582.0,938582.0,938582.0,86.0,86.0,86.0
1173,Terry Bishop,Cover Girl Killer,,,,59.0,59.0,59.0
1174,Louis Leterrier,"The Incredible Hulk, Fast X, Clash of the Titans, The Transporter, The Brothers Grimsby, Fast X: Part 2, Transporter 2, Now You See Me, Unleashed",704709660.0,27979040.0,253285244.0,72.0,58.0,64.625
1175,Matt Bettinelli-Olpin,"Scream VI, Ready or Not, Scream, V/H/S, Untitled Monster Thriller for Universal Pictures Project, Southbound",168961389.0,35275.0,73260130.4,69.0,58.0,62.8
1176,Danny Draven,Bad CGI Gator,,,,57.0,57.0,57.0
1177,Christian Forte,Deep in the Valley,,,,44.0,44.0,44.0
1178,Clark Gregg,Choke,3982459.0,3982459.0,3982459.0,64.0,64.0,64.0
1179,Leos Carax,"Pola X, Annette, Holy Motors",3688261.0,1954125.0,2821193.0,70.0,57.0,63.333333333333336
1180,Kenneth Lonergan,"Manchester by the Sea, You Can Count on Me",78988148.0,11242521.0,45115334.5,78.0,75.0,76.5
1181,Shane Acker,9,48428063.0,48428063.0,48428063.0,70.0,70.0,70.0
1182,Mark Griffiths,Hardbodies,7121719.0,7121719.0,7121719.0,49.0,49.0,49.0
1183,Dwight H. Little,"Murder at 1600, Halloween 4: The Return of Michael Myers, Marked for Death, Tekken, Anacondas: The Hunt for the Blood Orchid, Natty Knocks",70992898.0,1697207.0,34846501.0,61.0,42.0,52.5
1184,Stella Meghie,"Everything, Everything",61721140.0,61721140.0,61721140.0,63.0,63.0,63.0
1185,Lila Neugebauer,Causeway,,,,66.0,66.0,66.0
1186,Jeremy Gillespie,The Void,368372.0,368372.0,368372.0,59.0,59.0,59.0
1187,Jee-woon Kim,"I Saw the Devil, The Last Stand, A Tale of Two Sisters, Cobweb, A Bittersweet Life",48330757.0,33503.0,14494860.6,78.0,63.0,71.4
1188,Kazuaki Kiriya,Last Knights,1797955.0,1797955.0,1797955.0,62.0,62.0,62.0
1189,Shahnawaz Ali,UT69,,,,85.0,85.0,85.0
1190,David Hogan,Barb Wire,3793614.0,3793614.0,3793614.0,35.0,35.0,35.0
1191,Gilles Paquet-Brenner,"Crooked House, Dark Places",5090852.0,3682156.0,4386504.0,63.0,62.0,62.5
1192,Ilya Naishuller,"Hardcore Henry, Nobody",57510518.0,16810562.0,37160540.0,74.0,67.0,70.5
1193,Gavin Rothery,Archive,243279.0,243279.0,243279.0,64.0,64.0,64.0
1194,Simon Verhoeven,Girl You Know It's True,,,,,,
1195,Brandon Slagle,The Flood,,,,32.0,32.0,32.0
1196,Jaume Collet-Serra,"Jungle Cruise, Orphan, House of Wax, Unknown, The Shallows, Non-Stop, The Commuter, Run All Night, Black Adam, Carry On",393252111.0,68766121.0,158893816.33333334,70.0,55.0,64.66666666666667
1197,Dylan Kidd,Get a Job,23910.0,23910.0,23910.0,52.0,52.0,52.0
1198,Neill Blomkamp,"Gran Turismo, District 9, Elysium, Chappie, Demonic",286140700.0,366656.0,144377734.4,79.0,43.0,65.6
1199,Don Argott,Kelce,,,,82.0,82.0,82.0
1200,Jim Wynorski,"Chopping Mall, Munchie, The Lost Empire, Deathstalker II, Sins of Desire",,,,56.0,35.0,46.0
1201,Azi Rahman,No Way Out,,,,37.0,37.0,37.0
1202,Art Stevens,"The Rescuers, The Fox and the Hound",71215869.0,63456988.0,67336428.5,72.0,69.0,70.5
1203,Claudia Myers,Above the Shadows,1594.0,1594.0,1594.0,61.0,61.0,61.0
1204,Stephen King,Maximum Overdrive,7433663.0,7433663.0,7433663.0,54.0,54.0,54.0
1205,Jahmil X.T. Qubeka,The Queenstown Kings,,,,67.0,67.0,67.0
1206,Mia Hansen-Løve,One Fine Morning,1467217.0,1467217.0,1467217.0,70.0,70.0,70.0
1207,Mark Polonia,Cocaine Shark,,,,19.0,19.0,19.0
1208,Liz W. Garcia,The Lifeguard,,,,56.0,56.0,56.0
1209,Rob Bowman,"Reign of Fire, Elektra, The X Files, Airborne",189176423.0,2850263.0,82793128.75,70.0,47.0,60.25
1210,Mark Rydell,"On Golden Pond, The Cowboys",119285432.0,119285432.0,119285432.0,76.0,74.0,75.0
1211,Genie Joseph,Spookies,17785.0,17785.0,17785.0,49.0,49.0,49.0
1212,Jason Howden,Guns Akimbo,1034769.0,1034769.0,1034769.0,63.0,63.0,63.0
1213,Chung-Hyun Lee,"Ballerina, The Call",,,,71.0,62.0,66.5
1214,Robert Stevenson,"Mary Poppins, Bedknobs and Broomsticks, Old Yeller, That Darn Cat!, The Love Bug",103082380.0,51264022.0,77173201.0,78.0,65.0,70.4
1215,Kevin Sorbo,Left Behind: Rise of the Antichrist,3649422.0,3649422.0,3649422.0,42.0,42.0,42.0
1216,Mike Mitchell,"Sky High, Surviving Christmas, Trolls, Shrek Forever After, Deuce Bigalow: Male Gigolo, The Lego Movie 2: The Second Part, Alvin and the Chipmunks: Chipwrecked, The SpongeBob Movie: Sponge Out of Water, Kung Fu Panda 4",752600867.0,15125687.0,270213571.375,66.0,43.0,58.75
1217,Matt Brown,"Freud's Last Session, The Man Who Knew Infinity",12252684.0,12252684.0,12252684.0,85.0,72.0,78.5
1218,David Greenwalt,Secret Admirer,8622973.0,8622973.0,8622973.0,65.0,65.0,65.0
1219,Mark Gantt,Soul Mates,95507.0,95507.0,95507.0,60.0,60.0,60.0
1220,Richard Laxton,Effie Gray,721143.0,721143.0,721143.0,60.0,60.0,60.0
1221,Justin Lee,Among Wolves,,,,71.0,71.0,71.0
1222,Marc Meyers,"My Friend Dahmer, We Summon the Darkness",1436751.0,190760.0,813755.5,62.0,52.0,57.0
1223,Brian DeCubellis,Trust,,,,53.0,53.0,53.0
1224,Alex Hardcastle,Senior Year,,,,55.0,55.0,55.0
1225,Jeymes Samuel,"The Harder They Fall, The Book of Clarence",8292.0,8292.0,8292.0,66.0,66.0,66.0
1226,William R. Kowalchuk Jr.,Rudolph the Red-Nosed Reindeer: The Movie,,,,58.0,58.0,58.0
1227,David Dobkin,"The Change-Up, Eurovision Song Contest: The Story of Fire Saga, The Judge, Fred Claus, Shanghai Knights, Wedding Crashers",288485135.0,75450437.0,126903359.2,74.0,56.0,65.0
1228,James Ward Byrkit,Coherence,139745.0,139745.0,139745.0,72.0,72.0,72.0
1229,Corin Hardy,The Nun,366082797.0,366082797.0,366082797.0,53.0,53.0,53.0
1230,Nick Love,The Football Factory,1228003.0,1228003.0,1228003.0,67.0,67.0,67.0
1231,E. Elias Merhige,"Shadow of the Vampire, Begotten",11155214.0,11155214.0,11155214.0,69.0,56.0,62.5
1232,Frant Gwo,"The Wandering Earth II, The Wandering Earth",699992512.0,8854786.0,354423649.0,69.0,59.0,64.0
1233,Phyllis Nagy,Call Jane,736893.0,736893.0,736893.0,64.0,64.0,64.0
1234,Scott Mosier,The Grinch,526760632.0,526760632.0,526760632.0,64.0,64.0,64.0
1235,Daniel Myrick,The Blair Witch Project,248639099.0,248639099.0,248639099.0,65.0,65.0,65.0
1236,Ethan Hawke,Wildcat,,,,57.0,57.0,57.0
1237,Oz Perkins,"Gretel & Hansel, The Blackcoat's Daughter",22304357.0,38348.0,11171352.5,59.0,55.0,57.0
1238,Annabel Jankel,"Super Mario Bros., Tell It to the Bees",20915465.0,151107.0,10533286.0,64.0,41.0,52.5
1239,John Rice,The Angry Birds Movie 2,147792047.0,147792047.0,147792047.0,64.0,64.0,64.0
1240,Paolo Genovese,"Perfect Strangers, The First Day of My Life",32207491.0,2724401.0,17465946.0,77.0,67.0,72.0
1241,Stacie Passon,We Have Always Lived in the Castle,80094.0,80094.0,80094.0,56.0,56.0,56.0
1242,Frank Pierson,A Star Is Born,80000000.0,80000000.0,80000000.0,61.0,61.0,61.0
1243,Eric Amadio,After Sex,,,,55.0,55.0,55.0
1244,Hideki Takayama,Urotsukidoji: Legend of the Overfiend,,,,63.0,63.0,63.0
1245,Pat Mills,The Retreat,,,,49.0,49.0,49.0
1246,Wes Anderson,"The French Dispatch, Asteroid City, The Royal Tenenbaums, Moonrise Kingdom, Isle of Dogs, The Darjeeling Limited, Rushmore, The Life Aquatic with Steve Zissou, The Grand Budapest Hotel, Bottle Rocket, Fantastic Mr. Fox",174563280.0,560069.0,56802151.45454545,81.0,66.0,74.36363636363636
1247,Hans Petter Moland,"Cold Pursuit, In Order of Disappearance",76419755.0,904446.0,38662100.5,71.0,62.0,66.5
1248,Jean Negulesco,The Greatest Story Ever Told,,,,65.0,65.0,65.0
1249,Steven Spielberg,"Indiana Jones and the Temple of Doom, A.I. Artificial Intelligence, War of the Worlds, Minority Report, The Post, Munich, Close Encounters of the Third Kind, The Terminal, The Lost World: Jurassic Park, Lincoln, Bridge of Spies, Indiana Jones and the Kingdom of the Crystal Skull, Schindler's List, West Side Story, Jurassic Park, The Adventures of Tintin, Empire of the Sun, War Horse, Saving Private Ryan, The BFG, Amistad, Catch Me If You Can, Hook, Raiders of the Lost Ark, Always, 1941, The Fabelmans, The Sugarland Express, Jaws, E.T. the Extra-Terrestrial, The Color Purple, Indiana Jones and the Last Crusade, Ready Player One",1113138548.0,7504841.0,325805906.1212121,90.0,58.0,73.87878787878788
1250,John Lafia,Child's Play 2,35763605.0,35763605.0,35763605.0,59.0,59.0,59.0
1251,Liam Gavin,A Dark Song,23742.0,23742.0,23742.0,62.0,62.0,62.0
1252,Vamsee,Tiger Nageswara Rao,19532.0,19532.0,19532.0,64.0,64.0,64.0
1253,Randall Wallace,"We Were Soldiers, The Man in the Iron Mask, Secretariat, Heaven Is for Real",182968902.0,60321861.0,115162097.5,72.0,58.0,66.75
1254,Bruce McCulloch,Superstar,30636478.0,30636478.0,30636478.0,52.0,52.0,52.0
1255,Gareth Evans,"The Raid: Redemption, Havoc, Apostle, V/H/S/2",9148519.0,805574.0,4977046.5,76.0,60.0,66.33333333333333
1256,Aki Kaurismäki,"Fallen Leaves, The Man Without a Past, Le Havre",12959706.0,2102021.0,8208654.666666667,76.0,72.0,74.66666666666667
1257,Kim Min-Ho,Unstoppable,11845347.0,11845347.0,11845347.0,66.0,66.0,66.0
1258,Vibeke Muasya,Rushed,,,,57.0,57.0,57.0
1259,Lukas Moodysson,"Lilya 4-Ever, Show Me Love, Together",14596148.0,219331.0,5274408.666666667,78.0,74.0,75.66666666666667
1260,Harald Zwart,"The Karate Kid, The Mortal Instruments: City of Bones, The 12th Man, Agent Cody Banks, The Pink Panther 2",359126022.0,9567121.0,119782132.8,73.0,51.0,60.0
1261,Brian Desmond Hurst,A Christmas Carol,24.0,24.0,24.0,81.0,81.0,81.0
1262,Samantha Jayne,Mean Girls,,,,,,
1263,Alexandra Shiva,How to Dance in Ohio,,,,77.0,77.0,77.0
1264,Eric Leighton,Dinosaur,349822765.0,349822765.0,349822765.0,64.0,64.0,64.0
1265,Victoria U Bell,Heir of the Witch,,,,51.0,51.0,51.0
1266,Ellen Hovde,Grey Gardens,36923.0,36923.0,36923.0,76.0,76.0,76.0
1267,Jonas Elmer,New in Town,29010817.0,29010817.0,29010817.0,57.0,57.0,57.0
1268,Felix Herngren,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,51167572.0,51167572.0,51167572.0,70.0,70.0,70.0
1269,Rupert Wyatt,"The Gambler, Rise of the Planet of the Apes, Captive State",481800873.0,8808611.0,176630158.66666666,76.0,60.0,65.33333333333333
1270,Brett Simmons,Animal,,,,47.0,47.0,47.0
1271,Matt Cimber,Butterfly,,,,47.0,47.0,47.0
1272,Shane Carruth,Primer,545436.0,545436.0,545436.0,67.0,67.0,67.0
1273,Neil Breen,Cade: The Tortured Crossing,,,,74.0,74.0,74.0
1274,Peter Saunders,Bindle (One of Them Days),,,,51.0,51.0,51.0
1275,Brian Gibson,"What's Love Got to Do with It, Poltergeist II: The Other Side",40996665.0,39100956.0,40048810.5,73.0,56.0,64.5
1276,Roger Allers,"The Lion King, Open Season",968511805.0,200811689.0,584661747.0,85.0,61.0,73.0
1277,Diego Freitas,Burning Betrayal,,,,40.0,40.0,40.0
1278,Chris Weitz,"The Twilight Saga: New Moon, About a Boy, The Golden Compass, Operation Finale, American Pie",711025481.0,17612099.0,293380980.6,71.0,48.0,63.2
1279,Dan Kuenster,"All Dogs Go to Heaven, Rock-A-Doodle",27100027.0,11657385.0,19378706.0,67.0,60.0,63.5
1280,Jakob M. Erwa,Center of My World,3656.0,3656.0,3656.0,72.0,72.0,72.0
1281,Laurel Parmet,The Starling Girl,161290.0,161290.0,161290.0,67.0,67.0,67.0
1282,Mona Fastvold,The World to Come,205878.0,205878.0,205878.0,64.0,64.0,64.0
1283,Jamie Payne,Luther: The Fallen Sun,,,,64.0,64.0,64.0
1284,Sean Penn,"The Pledge, Superpower, Into the Wild",56675895.0,29419291.0,43047593.0,81.0,57.0,68.66666666666667
1285,Philip G. Atwell,War,42653739.0,42653739.0,42653739.0,62.0,62.0,62.0
1286,Mark Goldblatt,The Punisher,,,,56.0,56.0,56.0
1287,Timothy Scott Bogart,Spinning Gold,66284.0,66284.0,66284.0,60.0,60.0,60.0
1288,Alan Rickman,A Little Chaos,10084623.0,10084623.0,10084623.0,65.0,65.0,65.0
1289,Jay Baruchel,Goon: Last of the Enforcers,124875.0,124875.0,124875.0,58.0,58.0,58.0
1290,Wolfgang Reitherman,"The Jungle Book, Robin Hood, The Aristocats, The Rescuers, The Sword in the Stone, The Many Adventures of Winnie the Pooh",205843612.0,12000000.0,81129756.0,76.0,69.0,72.83333333333333
1291,Zak Hilditch,"1922, These Final Hours",360234.0,360234.0,360234.0,66.0,62.0,64.0
1292,Steve Gordon,Arthur,95461682.0,95461682.0,95461682.0,69.0,69.0,69.0
1293,Jesse Eisenberg,When You Finish Saving the World,196920.0,196920.0,196920.0,56.0,56.0,56.0
1294,W.D. Richter,The Adventures of Buckaroo Banzai Across the 8th Dimension,6254148.0,6254148.0,6254148.0,62.0,62.0,62.0
1295,Jay Chandrasekhar,"Super Troopers, The Dukes of Hazzard, Beerfest, Super Troopers 2",111069515.0,20387597.0,46566430.25,70.0,51.0,60.75
1296,Chantal Akerman,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",3632.0,3632.0,3632.0,75.0,75.0,75.0
1297,Derick Martini,Hick,,,,55.0,55.0,55.0
1298,Stefon Bristol,Breathe,,,,,,
1299,Coke Daniels,"Karen, Who Made the Potatoe Salad?",,,,46.0,31.0,38.5
1300,Elizabeth Wood,White Girl,200242.0,200242.0,200242.0,57.0,57.0,57.0
1301,Raine Allen-Miller,Rye Lane,1569407.0,1569407.0,1569407.0,72.0,72.0,72.0
1302,Johnny Strong,Warhorse One,997.0,997.0,997.0,52.0,52.0,52.0
1303,Nimród Antal,"Predators, Retribution, Vacancy",127233108.0,18690902.0,60455648.333333336,64.0,53.0,59.666666666666664
1304,Doug Ellin,Entourage,49263404.0,49263404.0,49263404.0,65.0,65.0,65.0
1305,Declan Lawn,Rogue Agent,192880.0,192880.0,192880.0,64.0,64.0,64.0
